companyName,listName,organisation,notes
Wholebake Limited,Wholebake Ltd,Seamcor Limited,alias
UIN Foods,UIN Foods Limited,Seamcor Limited,alias
Shepley Spring Limited,Shepley Spring Limited,Seamcor Limited,
Westcountry Spice Limited,Westcountry Spice Ltd,Seamcor Limited,alias
WD Meats,WD Meats,Seamcor Limited,
Smithy Mushrooms,Smithy Mushrooms,Seamcor Limited,
Shepcote Distributors Limited,Shepcote Distribution Ltd,Seamcor Limited,alias
Westland Horticulture Limited,Westland Horticulture - Driffield,Seamcor Limited,alias
Smart Office Connexion,Smart Office Connexion,Seamcor External Profit Company,
York House Foods,YORK HOUSE FOODS,Seamcor Limited,alias
Westland Horticulture Limited,Westland Horticultural - Ellesmere,Seamcor Limited,alias
White's Bakery,White's Bakery,Seamcor Limited,
Thomas Hardy Holdings Limited,Thomas Hardy Burtonwood Ltd,Seamcor Limited,alias
The Welsh Pantry,Welsh Pantry,Seamcor Limited,alias
Stonegate Farmers Ltd,Stonegate Farmers,Seamcor Limited,alias
PJs Foods,PJs Foods,Seamcor Limited,
Peter's Food Service Ltd,Peters Food,Seamcor Limited,alias
Natures Menu,Natures Menu,Seamcor Limited,
Manor Farm,Manor Farms,Seamcor Limited,alias
Lyons Seafoods,Lyons Seafoods,Seamcor Limited,
Kanes Foods Limited,Kanes Foods,Seamcor Limited,alias
One Platinum (PTY) Ltd,One Platinum (PTY) Ltd,Seamcor External Profit Company,
J Pao & Company Limited,JPAO,Seamcor Limited,alias
John Hurd's Organic Watercress,John Hurd's Organic Watercress,Seamcor Limited,
Evolution Foods Limited,Evolution Foods Ltd,Seamcor Limited,alias
Infusion GB Ltd,Infusion GB Ltd,Seamcor Limited,
Holland & Barrett BV,Holland & Barrett (Benelux),Seamcor Limited,alias
Holland & Barrett Retail Ltd,Holland & Barrett Retail Ltd,Seamcor Limited,
Elis,Elis UK,Seamcor Limited,alias
Forthglade Foods Limited,Forthglade Foods Limited,Seamcor Limited,
Heck! Food Ltd,Heck Foods,Seamcor Limited,alias
Jennings Bakery,Jennings Bakery Ltd,Seamcor Limited,alias
FEI Foods Ltd,FEI Foods Limited,Seamcor Limited,alias
Ingram Brothers,Ingram Brothers,Seamcor Limited,
DB Foods Limited (Vantage Foods),DB Foods (Vantage Foods),Seamcor Limited,alias
Dairy Partners Ltd,Dairy Partners,Seamcor Limited,alias
Cropwell Bishop Creamery,Cropwell Bishop Creamery,Seamcor Limited,
Corrboard UK Limited,Corrboard UK,Seamcor Limited,alias
British Pepper and Spice,British Pepper and Spice Co,Seamcor Limited,alias
Bridge Farm Horticulture Ltd,Bridge Farm Group,Seamcor Limited,alias
AM Fresh Food & Drink (UK) Ltd,AM Fresh UK,Seamcor Limited,alias
Afrigrit,Afrigrit,Seamcor External Profit Company,
AF Blakemore (Fresh Foods),AF Blakemore (Fresh Foods),Seamcor Limited,
Adlam Engineering (PTY) Ltd,Adlam Engineering (PTY) LTD,Seamcor External Profit Company,alias
